date,species,plant,rep,input_by,potted,branch_length,branch_width,branch_height,total_branch_mass,branching,mpa,notes on plant char,start_time_clocktime,start_time,ambient_temp,ambient_humidity,pre_ignition_glow,first_glow_time,ignition,primary_ignition,primary_time_of_flame_end,secondary_ignition,secondary_time_of_flame_end,third_ignition,third_time_of_ignition_flame_end,time_fh,fh,time_of_glow_end,thermocoupler_height,hotplate_height,notes on flame data,
2022-07-27,SALLEU,1,10,JC,yes,25.00,8.50,5.75,19.74,9,-1.9,,13:24:57,13:24:57,33.8,33,0,N/A,M,13:35:26,13:35:55,N/A,N/A,N/A,N/A,13:35:33,21.0,13:38:41,19.0,16.0,,
2022-07-27,SALLEU,1,11,JC,yes,25.00,12.50,5.00,20.98,9,-1.7,,13:40:17,13:40:17,34.3,32,1,13:43:45,M,13:51:00,13:51:19,N/A,N/A,N/A,N/A,13:51:01,24.0,13:52:50,19.0,16.0,,
2022-07-27,SALLEU,1,1,JC,yes,25.00,4.30,2.70,18.84,2,-1.8,,10:27:31,10:27:31,24.6,54,0,N/A,M,10:36:31,10:36:36,N/A,N/A,N/A,N/A,10:36:32,24.0,10:39:19,19.0,16.0,,
2022-07-27,SALLEU,1,2,JC,yes,25.00,14.00,4.30,20.17,4,-1.9,,10:41:36,10:41:36,26.5,47,1,10:43:16,1,10:49:55,10:50:23,N/A,N/A,N/A,N/A,10:49:57,19.0,10:50:47,19.0,16.0,,
2022-07-20,HETARB,7,1,RD,yes,15.90,16.10,9.40,28.38,2,-2.7,,10:43:16,10:43:16,26.6,51,0,N/A,M,10:58:45,10:59:00,N/A,,N/A,N/A,10:58:35,60.0,11:00:38,19.0,14.0,cannot tell time of glow end,
2022-07-27,SALLEU,1,3,JC,yes,25.00,9.00,9.60,20.84,8,-1.5,,10:53:24,10:53:24,27.7,43,0,N/A,M,11:12:30,11:12:50,N/A,N/A,N/A,N/A,11:12:32,25.0,11:14:31,19.0,16.0,,
2022-07-19,HETARB,1,1,AC,yes,21.00,17.20,15.00,37.22,0,-2.8,,10:57:00,10:57:00,34.2,40,0,N/A,M,11:12:37,11:13:23,N/A,N/A,N/A,N/A,11:12:41,21.0,11:13:28,18.0,15.0,couldn't see any glow but video was stopped after burn was done,
2022-07-20,CEAGRI,1,1,RD,yes,25.00,13.60,6.80,22.03,9,-3,,11:05:38,11:05:38,28.0,44,0,N/A,M,11:13:11,11:13:43,N/A,N/A,N/A,N/A,11:13:21,27.0,11:14:35,19.0,14.0,,
2022-08-24,SALAPI,10,2,SM,yes,23.50,17.50,12.50,29.50,4,-1.1,,11:15:08,11:15:08,26.6,44,0,N/A,1,11:17:56,11:18:02,11:21:53,11:22:20,N/A,N/A,11:21:59,38.0,11:23:01,19.0,16.0,"listed as SALAPI P10R1 on the video, but there is already a SALAPI P10R1, so changed this one to R2",
2022-07-27,SALLEU,1,4,JC,yes,25.00,9.60,3.30,19.66,6,-2.2,,11:17:21,11:17:21,29.4,33,1,11:20:42,1,11:21:47,11:21:51,N/A,N/A,N/A,N/A,11:21:49,15.5,11:22:29,19.0,16.0,,
2022-08-09,MALLAU,6,1,JC,yes,25.00,21.30,21.20,27.11,3,-2.5,,11:20:42,11:20:42,32.0,50,0,N/A,1,11:22:43,11:23:03,11:32:11,N/A,11:32:18,11:32:38,11:32:11,17.0,11:40:06,19.0,15.0,"first ignition by touching pilot flame; second and third ignitions by manual; for second ignition, was still flaming when ignited a third time manually",
2022-07-19,HETARB,2,1,AC,yes,19.50,15.00,14.00,34.22,0,-1.5,,11:22:38,11:22:38,37.7,40,0,N/A,M,11:33:28,11:34:02,N/A,N/A,N/A,N/A,11:33:28,33.0,11:34:09,18.0,15.0,couldn't see any glow but video was stopped after burn was done,
2022-07-27,SALLEU,1,5,JC,yes,25.00,4.30,3.10,18.74,0,-2.1,,11:25:10,11:25:10,30.1,31,0,N/A,M,11:34:39,11:34:59,N/A,N/A,N/A,N/A,11:34:40,22.0,11:35:17,19.0,16.0,,
2022-07-20,CEAGRI,1,2,RD,yes,25.00,14.00,5.00,21.11,12,-4.7,,11:27:23,11:27:23,33.8,33,0,N/A,M,11:32:58,11:33:27,N/A,N/A,N/A,N/A,11:33:10,25.0,11:35:56,19.0,14.0,,
2022-08-24,SALLEU,8,1,SM,yes,22.00,17.00,8.10,25.43,11,-1.35,,11:34:00,11:34:00,27.4,44,0,N/A,M,11:39:48,11:40:09,N/A,N/A,N/A,N/A,11:39:51,28.0,11:43:09,19.0,15.5,,
2022-07-13,MALLAU,1,1,JL,yes,25.00,23.00,13.00,28.89,1,-1.8,,11:35:46,11:35:46,31.0,35,0,N/A,M,11:46:12,11:46:19,11:46:27,11:46:40,N/A,N/A,11:46:32,14.0,11:49:31,18.0,15.0,"missing straight on angle, only have above view, unable to tell best guess",
2022-07-20,CEAGRI,1,3,RD,yes,25.00,21.00,4.00,21.56,6,-3.5,,11:38:56,11:38:56,36.7,32,0,N/A,M,11:44:09,11:44:35,N/A,N/A,N/A,N/A,11:44:11,28.0,11:48:19,19.0,14.0,,
2022-09-02,ERIKAR,7,5,RD,yes,25.00,17.00,2.50,17.72,2,-1,L-shaped,11:39:30,11:39:30,35.5,34,0,N/A,M,11:47:55,11:47:57,N/A,N/A,N/A,N/A,11:47:55,7.0,11:49:51,19.0,15.0,,
2022-07-27,SALLEU,1,6,JC,yes,25.00,9.50,3.30,21.03,4,-1.7,,11:40:50,11:40:50,32.4,32,0,N/A,M,11:50:29,11:50:59,N/A,N/A,N/A,N/A,11:50:32,25.0,11:52:01,19.0,16.0,,
2022-08-09,MALLAU,6,2,JC,yes,23.50,19.50,15.00,24.20,5,-1.9,,11:42:22,11:42:22,32.0,41,1,11:52:59,M,11:54:19,11:54:32,N/A,N/A,N/A,N/A,11:54:20,18.0,12:04:29,19.0,15.0,,
2022-07-27,SALAPI,8,2,JC,yes,,,,,,,MISSING PLANT TRAIT DATA,11:46:53,11:46:53,28.3,43,1,11:49:04,M,11:49:57,11:50:00,11:50:06,11:50:19,N/A,N/A,11:50:16,25.0,11:59:07,19.0,15.0,,
2022-08-24,SALLEU,8,2,SM,yes,25.00,6.30,3.90,19.92,5,-0.4,,11:46:53,11:46:53,28.7,43,1,11:49:01,M,11:50:06,11:50:19,N/A,N/A,N/A,N/A,11:50:16,26.0,11:59:04,19.0,15.5,,
2022-07-20,CEAGRI,1,4,RD,yes,25.00,8.80,5.60,21.93,8,-4.5,,11:51:12,11:51:12,37.3,31,0,N/A,M,11:56:31,11:56:48,N/A,N/A,N/A,N/A,11:56:31,40.0,11:58:13,19.0,14.0,,
2022-07-27,SALLEU,1,7,JC,yes,25.00,4.50,3.00,19.07,5,-1.8,,11:54:07,11:54:07,34.2,32,0,N/A,M,12:04:13,12:04:23,N/A,N/A,N/A,N/A,12:04:14,21.5,12:08:37,19.0,16.0,,
2022-08-16,SALLEU,4,1,RD,yes,25.00,12.50,4.00,21.23,4,-1.7,,11:56:24,11:56:24,26.4,50,0,N/A,1,11:58:13,11:58:20,N/A,N/A,N/A,N/A,11:58:16,12.0,12:23:08,19.0,15.0,,
2023-03-08,EUCGLO,2,1,RD,no,25.00,30.00,9.70,34.68,2,-3,,12:00:01,12:00:01,36.6,23,0,N/A,M,12:12:25,12:13:15,N/A,N/A,N/A,N/A,12:12:35,60.0,12:14:18,20.0,15.0,one thermocoupler is resting on hot plate (lower left side),
2022-07-20,CEAGRI,2,1,RD,yes,25.00,17.10,12.80,22.71,10,-3.2,,12:00:45,12:00:45,36.6,32,0,N/A,M,12:05:58,12:06:27,N/A,N/A,N/A,N/A,12:05:59,37.0,12:07:45,19.0,14.0,,
2022-08-09,MALLAU,7,1,AC,yes,25.00,21.70,18.20,34.97,0,-2,,12:05:58,12:05:58,31.8,39,0,N/A,M,12:16:58,12:17:03,N/A,N/A,N/A,N/A,12:17:00,27.0,12:20:39,19.0,15.0,,
2022-08-24,SALAPI,9,3,JC,yes,,,,,,,no plant traits data?,12:08:28,12:08:28,28.0,45,0,N/A,M,12:14:46,12:15:14,N/A,N/A,N/A,N/A,12:14:49,17.0,12:16:07,19.0,16.0,,
2022-07-20,CEAGRI,2,2,RD,yes,25.00,18.10,5.50,25.63,10,-3.1,,12:10:40,12:10:40,36.5,32,0,N/A,M,12:15:48,12:16:07,N/A,N/A,N/A,N/A,12:15:49,32.0,12:18:06,19.0,14.0,,
2023-03-08,EUCGLO,2,2,RD,no,25.00,12.90,8.30,38.94,0,-2.3,,12:18:56,12:18:56,35.5,20,0,N/A,M,12:32:39,12:34:53,N/A,N/A,N/A,N/A,12:33:06,34.0,12:35:08,20.0,15.0,one thermocoupler is resting on hot plate (lower left side) and another two thermocouplers crossed (back wall),
2022-08-17,SALAPI,9,1,JL,yes,25.00,15.30,11.20,29.68,0,-1.4,,12:21:26,12:21:26,28.8,39,0,N/A,1,12:24:18,12:24:27,N/A,N/A,N/A,N/A,12:24:20,40.0,12:30:41,19.0,15.0,duplicated P9R1,
2022-08-09,MALLAU,7,2,AC,yes,25.00,18.00,16.90,25.94,0,-0.8,,12:22:58,12:22:58,32.6,36,0,N/A,M,12:23:51,12:23:56,12:32:45,12:33:10,N/A,N/A,12:33:07,26.0,12:34:26,19.0,15.0,first ignition by touching pilot flame; second manual,
2023-02-15,EUCGLO,1,3,RD,no,25.00,25.60,7.10,28.52,0,-2.3,,12:25:45,12:25:45,44.4,12,1,12:26:36,M,12:35:19,12:35:57,N/A,N/A,N/A,N/A,12:35:22,29.0,12:38:01,20.0,15.0,one thermocoupler is resting on hot plate (lower left side),
2022-08-16,SALLEU,4,2,RD,yes,25.00,8.40,7.00,22.81,7,-1.1,,12:26:35,12:26:35,28.7,42,1,12:32:19,M,12:37:22,12:37:51,N/A,N/A,N/A,N/A,12:37:26,22.0,12:39:34,19.0,15.0,,
2023-03-08,EUCGLO,2,3,RD,no,25.00,26.40,6.30,33.14,1,-2.1,,12:38:48,12:38:48,41.0,14,0,N/A,M,12:50:42,12:52:11,N/A,N/A,N/A,N/A,12:50:44,22.0,12:52:52,19.0,15.0,one thermocoupler is resting on hot plate (lower left side),
2023-02-15,EUCGLO,1,4,RD,no,25.00,23.30,3.50,27.06,0,-2.3,,12:41:03,12:41:03,41.4,13,0,N/A,M,12:50:50,12:51:47,N/A,N/A,N/A,N/A,12:50:51,20.0,12:53:19,20.0,15.0,one thermocoupler is resting on hot plate (lower left side),
2022-07-27,SALLEU,1,8,JC,yes,25.00,7.50,2.00,18.98,7,-2.1,,12:42:51,12:42:51,33.8,33,0,N/A,1,12:49:28,12:49:44,N/A,N/A,N/A,N/A,12:49:29,13.0,13:06:10,19.0,16.0,cannot see glow end time at all,
2022-07-19,HETARB,3,1,AC,yes,24.00,15.50,15.00,30.80,0,-1.75,,12:45:50,12:45:50,31.2,45,0,N/A,M,13:01:38,13:02:17,N/A,N/A,N/A,N/A,13:01:44,22.0,13:02:24,18.0,15.0,,
2022-08-09,MALLAU,7,3,AC,yes,25.00,19.80,13.00,35.49,2,-0.7,,12:48:49,12:48:49,33.2,34,0,N/A,M,12:55:15,12:57:04,N/A,N/A,N/A,N/A,12:56:25,37.0,13:00:41,19.0,15.0,,
2022-08-16,SALLEU,4,3,RD,yes,25.00,6.00,2.90,18.15,0,-0.7,,12:52:27,12:52:27,29.1,41,0,N/A,1,12:55:34,12:55:43,N/A,N/A,N/A,N/A,12:55:36,18.0,13:02:11,19.0,15.0,,
2023-03-08,EUCGLO,2,4,RD,no,25.00,26.00,8.50,28.92,1,-1.85,,12:54:13,12:54:13,41.9,16,0,N/A,M,13:06:44,13:08:00,N/A,N/A,N/A,N/A,13:06:55,24.0,13:08:26,19.0,15.0,one thermocoupler is resting on hot plate (lower left side),
2023-02-15,EUCGLO,1,5,RD,no,25.00,25.20,5.00,27.93,1,-2.5,,12:56:02,12:56:02,44.4,12,0,N/A,M,13:06:38,13:07:10,N/A,N/A,N/A,N/A,13:06:42,33.0,13:08:19,20.0,15.0,one thermocoupler is resting on hot plate (lower left side),
2022-07-13,MALLAU,1,2,JL,yes,25.00,24.00,12.00,29.91,1,-0.8,,12:56:54,12:56:54,29.6,42,0,N/A,M,13:07:39,13:07:50,N/A,N/A,N/A,N/A,13:07:47,18.0,13:09:40,18.0,15.0,"short burn, only burned part of branch",
2022-08-17,SALAPI,10,1,JL,yes,25.00,13.90,8.50,32.46,0,-1,,13:01:29,13:01:29,31.9,36,0,N/A,1,13:03:00,13:03:13,N/A,N/A,N/A,N/A,13:03:04,38.0,13:06:19,19.0,15.0,,
2022-08-09,MALLAU,8,1,AC,yes,25.00,23.50,15.00,30.73,2,-2.3,,13:03:24,13:03:24,34.3,33,0,N/A,M,13:11:23,13:11:39,N/A,N/A,N/A,N/A,13:11:27,57.5,13:21:33,19.0,15.0,,
2022-08-16,SALLEU,4,4,RD,yes,25.00,7.10,5.30,20.37,7,-0.9,,13:03:49,13:03:49,30.4,38,1,13:06:06,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:18:37,19.0,15.0,,
2022-07-20,CEAGRI,2,3,RD,yes,25.00,8.40,6.20,24.06,12,-2.5,,13:07:06,13:07:06,33.7,37,0,N/A,M,13:12:32,13:12:47,N/A,N/A,N/A,N/A,13:12:34,40.0,13:20:08,19.0,14.0,,
2022-07-27,SALLEU,1,9,JC,yes,25.00,20.00,7.50,26.49,9,-1.9,,13:07:54,13:07:54,33.2,34,1,13:08:48,1,13:09:18,13:09:23,13:15:53,13:16:36,13:20:31,13:21:14,13:15:54,15.0,13:22:54,19.0,16.0,glow start by touching pilot flame,
2023-03-08,EUCGLO,2,5,RD,no,25.00,16.10,4.60,25.49,1,-2.25,,13:09:34,13:09:34,41.3,15,0,N/A,M,13:21:25,13:22:22,N/A,N/A,N/A,N/A,13:21:26,63.0,13:24:33,19.0,15.0,one thermocoupler is resting on hot plate (lower left side),
2022-12-20,QUEAGR,4,1,RD,no,25.00,16.50,13.30,29.66,8,-2.2,,13:14:19,13:14:19,44.4,29,0,N/A,M,13:26:04,13:26:09,N/A,N/A,N/A,N/A,13:26:04,24.0,13:26:11,19.0,15.0,,
2022-07-13,MALLAU,1,3,JL,yes,25.00,19.00,14.00,31.27,5,-0.9,,13:17:35,13:17:35,30.0,40,0,N/A,M,13:24:51,13:25:11,N/A,N/A,N/A,N/A,13:24:58,18.0,13:26:38,18.0,15.0,"straight on video was cut short, unable to tell, best guess",
2022-08-16,SALLEU,4,5,RD,yes,25.00,6.00,5.30,19.44,2,-1.3,,13:20:00,13:20:00,29.7,39,0,N/A,M,13:21:20,13:21:24,N/A,N/A,N/A,N/A,13:21:23,11.0,13:31:11,19.0,15.0,sample ignited by barely touching pilot flame (not intentional manual); small flame throughout,
2022-07-20,CEAGRI,2,4,RD,yes,25.00,6.40,14.20,24.90,6,-2.1,,13:23:11,13:23:11,34.3,37,0,N/A,M,13:28:22,13:28:54,N/A,N/A,N/A,N/A,13:28:34,35.0,13:30:39,19.0,14.0,,
2023-03-08,EUCGLO,2,6,RD,no,25.00,7.10,4.00,28.96,0,-2.55,,13:26:37,13:26:37,38.6,17,0,N/A,1,13:27:23,13:28:32,N/A,N/A,N/A,N/A,13:27:31,33.0,13:32:02,19.0,15.0,one thermocoupler is resting on hot plate (lower left side),
2022-08-09,MALLAU,8,2,AC,yes,25.00,14.40,13.20,22.25,0,-0.9,,13:27:06,13:27:06,33.9,34,0,N/A,M,13:37:24,13:37:44,N/A,N/A,N/A,N/A,13:37:26,27.0,13:39:23,19.0,15.0,,
2023-01-06,QUEAGR,7,1,RD,no,25.00,22.00,18.50,34.68,10,-2.75,,13:27:46,13:27:46,45.2,26,0,N/A,M,13:38:09,13:38:16,N/A,N/A,N/A,N/A,13:38:12,31.0,13:45:13,19.0,15.0,ignited by sample touching pilot flame (not intentional manual ignition),
2022-12-20,QUEAGR,4,2,RD,no,25.00,29.00,11.00,30.79,8,-2.1,,13:28:55,13:28:55,45.9,25,0,N/A,M,13:52:12,13:52:15,13:52:18,13:53:14,N/A,N/A,N/A,N/A,N/A,19.0,15.0,taken out prior to end of glow,
2022-07-13,MALLAU,2,1,JL,yes,25.00,22.00,16.00,26.12,0,-1.5,,13:29:08,13:29:08,30.0,38,0,N/A,M,13:39:42,13:39:59,N/A,N/A,N/A,N/A,13:39:45,24.0,13:52:26,18.0,15.0,,
2022-08-16,SALLEU,4,6,RD,yes,25.00,15.00,5.40,21.78,6,-1.2,,13:32:42,13:32:42,30.8,36,0,N/A,1,13:37:15,13:37:50,N/A,N/A,N/A,N/A,13:37:17,30.0,13:45:35,19.0,15.0,,
2022-07-20,CEAGRI,2,5,RD,yes,25.00,17.50,8.00,24.31,8,-2,,13:34:59,13:34:59,33.0,39,0,N/A,1,13:36:14,13:36:28,N/A,N/A,N/A,N/A,13:36:17,35.0,13:40:03,19.0,14.0,,
2023-01-03,QUEAGR,5,1,RD,no,25.00,19.40,15.30,37.91,3,-2.4,,13:35:43,13:35:43,30.5,44,0,N/A,M,13:55:18,13:56:27,N/A,N/A,N/A,N/A,13:55:40,38.0,13:58:20,19.0,15.0,,
2022-11-01,SALLEU,11,1,RD,yes,25.00,11.00,5.60,20.49,3,-1.1,,13:39:17,13:39:17,26.1,55,0,N/A,M,13:43:18,13:43:33,N/A,N/A,N/A,N/A,13:43:18,8.0,13:47:24,19.0,17.0,sample lit by touching pilot flame (barely; not intentional manual ignition),
2022-11-29,QUEAGR,2,1,KF,no,25.00,10.00,7.00,25.93,1,-1.8,,13:39:35,13:39:35,26.4,33,0,N/A,1,13:41:50,13:42:11,N/A,N/A,N/A,N/A,13:42:06,27.0,13:44:05,19.0,15.0,,
2022-11-29,QUEAGR,2,2,KF,no,25.00,23.00,23.00,47.50,6,-1.7,,13:46:05,13:46:05,24.6,34,0,N/A,M,14:03:58,14:05:22,N/A,N/A,N/A,N/A,14:04:04,82.0,14:11:50,19.0,15.0,,
2022-07-19,HETARB,6,1,AC,yes,25.00,23.50,19.00,44.33,0,-1.9,sickle shaped (communist flag),13:46:08,13:46:08,31.4,41,0,N/A,M,14:01:30,14:01:48,14:01:56,14:02:29,N/A,N/A,14:02:01,49.0,N/A,18.0,15.0,taken out of chamber while still glowing,
2022-11-22,QUEAGR,1,1,KF,no,25.00,16.00,11.00,41.03,6,-2,,13:46:50,13:46:50,26.8,28,0,N/A,1,13:51:41,13:51:53,14:02:12,14:03:19,N/A,N/A,14:02:41,28.0,N/A,19.0,16.0,was glowing past end of video (14:11:42),
2023-01-06,QUEAGR,7,2,RD,no,25.00,16.60,8.90,26.42,7,-2.6,,13:48:10,13:48:10,31.4,35,1,13:53:27,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.0,15.0,"glowed past end, clapped at 14:04:34 for glow end time, but can still see stem glowing",
2022-08-16,SALLEU,4,7,RD,yes,25.00,11.50,7.80,22.38,7,-1.3,,13:52:53,13:52:53,30.6,37,1,13:55:43,1,13:57:38,13:57:51,N/A,N/A,N/A,N/A,13:57:41,35.0,13:58:49,19.0,15.0,,
2022-07-13,MALLAU,2,2,JL,yes,25.00,15.00,7.00,29.34,0,-1,,13:54:39,13:54:39,29.6,36,0,N/A,M,14:02:45,14:03:05,N/A,N/A,N/A,N/A,14:02:51,10.0,14:04:08,18.0,15.0,,
2022-07-20,CEAGRI,2,7,RD,yes,25.00,13.00,10.00,22.55,4,-1.8,,13:54:41,13:54:41,33.1,36,0,N/A,M,13:59:59,14:00:27,N/A,N/A,N/A,N/A,14:00:17,19.0,14:02:58,19.0,14.0,,
