date,species,plant,rep,input_by,trt,branch_length,branch_width,branch_height,total_branch_mass,branching,mpa,notes on plant char,start_time,ambient_temp,ambient_humidity,pre_ignition_glow,first_glow_time,ignition,primary_ignition,primary_time_of_flame_end,secondary_ignition,secondary_time_of_flame_end,third_ignition,third_time_of_ignition_flame_end,time_of_max_flame_height,max_flame_height,time_of_glow_end,notes on flame data,
7/20/22,CEAGRI,P1,R4,RD,W,25,8.8,5.6,21.934,8,45,,11:51:12,37.3,31,0,N/A,M,11:56:31,,N/A,11:56:48,,,11:56:31,40,11:58:13,,
7/20/22,CEAGRI,P2,R1,RD,W,25,17.1,12.8,22.714,10,32,,12:00:45,36.6,32,0,N/A,M,12:05:58,,N/A,12:06:27,,,12:05:59,37,12:07:45,,
7/20/22,CEAGRI,P2,R2,RD,W,25,18.1,5.5,25.63,10,31,,12:10:40,36.5,32,0,N/A,M,12:15:48,,N/A,12:16:07,,,12:15:49,32,12:18:06,,
7/19/22,HETARB,P3,R1,AC,W,24,15.5,15,30.803,0,17.5,,12:45:50,31.2,45,0,N/A,M,13:01:38,,,13:02:17,,,13:01:44,22,13:02:24,,
7/13/22,MALLAU,P1,R2,JL,W,25,24,12,29.909,1,8,,12:56:54,29.6,42,0,N/A,M,13:07:39,,,13:07:50,,,13:07:47,18,13:09:40,"short burn, only burned part of branch",
7/13/22,MALLAU,P2,R1,JL,W,25,22,16,26.124,0,15,,13:29:08,30,38,0,N/A,M,13:39:42,,,13:39:59,,,13:39:45,24,13:52:26,,
7/13/22,MALLAU,P3,R3,JL,W,25,12,10,26.544,7,12,,15:15:10,31.5,32,0,N/A,M,15:21:42,,,15:21:54,,,15:21:47,33,15:23:30,,
7/20/22,CEAGRI,P4,R2,RD,W,25,7.5,7.3,19.712,7,34,,15:23:23,32,37,0,N/A,M,15:28:41,,N/A,15:28:48,,,15:28:47,30,15:29:55,,
7/13/22,MALLAU,P4,R1,JL,W,25,24,16,39.06,3,21,,15:29:40,31.5,32,0,N/A,M,15:36:12,,,15:37:05,,,15:36:26,34,15:38:26,,
7/19/22,HETARB,P2,R1,AC,W,19.5,15,14,34.224,0,15,,11:22:38,37.7,40,0,N/A,M,11:33:28,,,11:34:02,,,11:33:28,33,11:34:09,couldn't see any glow but video was stopped after burn was done,